ID,Pipeline,PipelineStage,Notes,TranslationNotes,Tags,Text
91,,,,Wonder Option,,守卫奇观至最后一刻
92,,,,Wonder Option,,摧毁完工的奇观将击败其所有者
93,,,,Wonder Option,,奇观成本增益
94,,,,Wonder Option,,根据玩家数量调整奇观成本，定义基于玩家每种资源的额外数量，奇观起始价格为 3000 每种资源
95,,,,Generic,,0 每个玩家
96,,,,Generic,,250 每个玩家
97,,,,Generic,,375 每个玩家
98,,,,Generic,,500 每个玩家
99,,,,Generic,,750 每个玩家
100,,,,Generic,,1000 每个玩家
101,,,,Generic,,1500 每个玩家
102,,,,Generic,,2000 每个玩家
103,,,,Option Header,,游戏设置
104,,,,Tribute Option,,贡品
105,,,,Tribute Option,,玩家能够向盟友进贡资源
106,,,,Diplomacy Option,,外交
107,,,,Diplomacy Option,,玩家能够建立自己的同盟
108,,,,Team Vision Option,,团队视野
109,,,,Team Vision Option,,盟友之间共享视野
110,,,,Generic,,无
111,,,,Team Vision Option,,需要市场
112,,,,Team Vision Option,,总是
113,,,,Map Vision Option,,地图视野
114,,,,Map Vision Option,,地图的起始视野
115,,,,Map Vision Option,,隐藏
116,,,,Map Vision Option,,已探索
117,,,,Map Vision Option,,显示
118,,,,Age Option,,起始时代
119,,,,Age Option,,所有玩家的起始时代
120,,,,Age Option,,黑暗时代
121,,,,Age Option,,封建时代
122,,,,Age Option,,城堡时代
123,,,,Age Option,,帝王时代
124,,,,Age Option,,后帝王时代
125,,,,Age Option,,结束时代
126,,,,Age Option,,所有玩家的最终时代
127,,,,Age Option,,科技时代
128,,,,Age Option,,所有玩家的起始科技研究完毕
129,,,,Resource Option,,起始资源
130,,,,Resource Option,,所有玩家的起始资源数量
131,,,,Generic,,标准
132,,,,Generic,,高
133,,,,Generic,,非常高
134,,,,Generic,,最大
135,,,,FOW Option,,消灭时显示
136,,,,FOW Option,,为被消灭的玩家移除战争迷雾
137,,,,Option Header,,比赛设置
138,,,,Score Visibility Option,,显示玩家分数
139,,,,Score Visibility Option,,固定的玩家信息开启时会显示玩家分数
140,,,,Score Option,,分数显示排名
141,,,,Score Option,,在分数模式排名中显示当前名次，如果允许团队获胜，则只在比赛结束时评估团队得分，分数胜利条件不会使用默认分数标准
142,,,,Score Option,,分数计时器
143,,,,Score Option,,计时结束后根据分数决定比赛胜负
144,,,,Population Option,,最小人口数量
145,,,,Population Option,,更改无房屋时的起始人口数量，不会超过最大人口数量
146,,,,Population Option,,最大人口数量
147,,,,Population Option,,更改最大人口数量，需要建造房屋方能达到最大值
148,,,,Number,,0
149,,,,Number,,25
150,,,,Number,,50
151,,,,Number,,75
152,,,,Number,,100
153,,,,Number,,125
154,,,,Number,,150
155,,,,Number,,175
156,,,,Number,,200
157,,,,Number,,225
158,,,,Number,,250
159,,,,Number,,275
160,,,,Number,,300
161,,,,Number,,350
162,,,,Number,,400
163,,,,Number,,450
164,,,,Number,,500
165,,,,Number,,550
166,,,,Number,,600
167,,,,Number,,650
168,,,,Number,,700
169,,,,Number,,750
170,,,,Number,,800
171,,,,Number,,850
172,,,,Number,,900
173,,,,Number,,950
174,,,,Number,,1000
175,,,,Number,,10000
176,,,,Villager Option,,起始村民数量
177,,,,Villager Option,,更改每个玩家的起始村民数量
178,,,,Number,,1
179,,,,Number,,2
180,,,,Number,,3
181,,,,Number,,4
182,,,,Number,,5
183,,,,Number,,6
184,,,,Number,,7
185,,,,Number,,8
186,,,,Number,,9
187,,,,Number,,10
188,,,,Number,,15
189,,,,Number,,20
190,,,,Number,,30
191,,,,Number,,35
192,,,,Number,,40
193,,,,Number,,45
194,,,,Keep Option,,大型箭塔开局
195,,,,Keep Option,,每个玩家开局拥有一座大型箭塔
196,,,,Option Header,,传统设置
197,,,,King Option,,国王开局
198,,,,King Option,,每个玩家开局拥有一名国王
199,,,,Ding Option,,叮当
200,,,,Ding Option,,彩蛋
201,,,,Market Option,,早期市场
202,,,,Market Option,,允许在黑暗时代建造市场
203,,,,Tree Option,,树木爆破
204,,,,Tree Option,,允许攻城武器和船只摧毁树木
205,,,,Speed Option,,模拟速度（单人）
206,,,,Speed Option,,更改游戏速度，此选项不能用于多人游戏
207,,,,Game Rate Option,,游戏速率（单人）
208,,,,Game Rate Option,,更改游戏速度，此选项不能用于多人游戏
209,,,,Number,,1x
210,,,,Number,,2x
211,,,,Number,,3x
212,,,,Number,,4x
213,,,,Number,,5x
214,,,,Number,,6x
215,,,,Number,,7x
216,,,,Number,,8x
217,,,,Number,,9x
218,,,,Number,,10x
219,,,,Number,,0.95x
220,,,,Number,,0.90x
221,,,,Number,,0.85x
222,,,,Number,,0.80x
223,,,,Number,,0.75x
224,,,,Number,,20x
225,,,,TC Option,,城镇中心限制
226,,,,TC Option,,禁止建造额外城镇中心
227,,,,TC Option,,无
228,,,,TC Option,,标准
229,,,,TC Option,,地标
230,,,,Team Solidarity,,保护您的队友
231,,,,Team Solidarity,,%1PLAYER_NAME% 和团队同生共死，选择投降
232,,,,Treaty,,剩余 %1MINUTES_REMAINING% 分钟条约结束
233,,,,Treaty,,条约结束，准备好血流成河吧！
234,,,,Diplomacy,,关系
235,,,,Diplomacy,,友好
236,,,,Diplomacy,,中立
237,,,,Diplomacy,,敌对
238,,,,Diplomacy,,当前立场
239,,,,Diplomacy,,%1PLAYER_NAME% 变为友好
240,,,,Diplomacy,,%1PLAYER_NAME% 变为中立
241,,,,Diplomacy,,%1PLAYER_NAME% 变为敌对
242,,,,Settlement Option Summary,,分散开局
243,,,,King Option,,强化国王
244,,,,King Option,,国王拥有额外加成和独特能力
245,,,,Team Balance Option,,团队平衡
246,,,,Team Balance Option,,如果团队失去一名成员，剩余成员将分享其人口数量和资源，动态团队不适用此选项
247,,,,Team Balance Option,,人口
248,,,,Team Balance Option,,人口和资源
249,,,,Dock Option,,无码头
250,,,,Dock Option,,禁止任何时代建造码头，不建议在玩家被水分隔的地图上使用
251,,,extra_text,Generic,,中等
252,,,help_text,Surrender,,战斗到最终一刻
253,,,extra_text,Elimination,,坚持到底
254,,,help_text,"Regicide King Unit, Requires Attributes",,君主不受世俗权威的约束，其统治权由上帝赐予，切莫挑战他的威严！
255,,,screen_name,"Regicide King Unit, Requires Attributes",,国王
256,,,,Settlement Option,,要塞
257,,,ags_conditions_objectives,Team Solidarity,,未能保护 %1PLAYER_NAME%
258,,,ags_conditions_objectives,Team Solidarity,,所有其他队员都溃不成军
259,,,ags_conditions_objectives,Annihilation,,消灭一切
260,,,,AI Takeover,,启用 AI 接管
261,,,,AI Takeover,,退出的玩家将被 AI 接管，而不是被淘汰
262,,,ags_conditions_objectives,Regicide,,真正的万王之王
263,,,ags_conditions_objectives,Regicide,,保护国王失败
264,,,ags_conditions_notifications,Regicide,,%1PLAYER_NAME% 被暗杀
265,,,ags_conditions_objectives,Regicide,,敌人攻击 %1PLAYER_NAME% 的国王
266,,,ags_conditions_notifications,Regicide,,国王遭受攻击
267,,,ags_conditions_notifications,Conquest,,%1PLAYER_NAME% 被征服
268,,,ags_conditions_objectives,Conquest,,您的帝国已被征服
269,,,ags_conditions_objectives,Conquest,,征服所有敌人
270,,,ags_conditions_objectives,Score,,存活并超越所有人
271,,,ags_conditions_objectives,Score,,您的帝国被遗忘在历史尘埃中
272,,,ags_conditions_objectives,Score,,您的帝国被永远铭记于历史中
273,,,ags_conditions_notifications,Score,,%1PLAYER_NAME% 仍在等待戈多
274,,,ags_conditions_notifications,Wonder,,%1PLAYER_NAME% 无法守卫世界奇观的荣耀
275,,,ags_conditions_notifications,Wonder,,建造一座世界奇观
276,,,ags_conditions_notifications,Conquest,,摧毁地标
277,,,ags_conditions_objectives,Wonder,,保护奇观失败
278,,,,Option Header,,玩家设置
279,,,,Colors,,强制颜色
280,,,,Colors,,调整外交颜色，并非用作颜色选择器 (但拥有类似功能)，每当游戏产生冲突时，将自动更新每个槽位的颜色，冲突设置将自动解决问题
281,,,,Colors,,强制玩家槽位使用的颜色，要求允许强制颜色
282,,,,Colors,,蓝
283,,,,Colors,,红
284,,,,Colors,,黄
285,,,,Colors,,绿
286,,,,Colors,,青
287,,,,Colors,,紫
288,,,,Colors,,橙
289,,,,Colors,,粉
290,,,,Colors,,灰
291,,,,Colors,,强制玩家 1 颜色
292,,,,Colors,,强制玩家 2 颜色
293,,,,Colors,,强制玩家 3 颜色
294,,,,Colors,,强制玩家 4 颜色
295,,,,Colors,,强制玩家 5 颜色
296,,,,Colors,,强制玩家 6 颜色
297,,,,Colors,,强制玩家 7 颜色
298,,,,Colors,,强制玩家 8 颜色
299,,,,Unit Rates Option,,部队速率
300,,,,Unit Rates Option,,更改部队的最高移动速度
301,,,,Number,,1.05x
302,,,,Number,,1.10x
303,,,,Number,,1.15x
304,,,,Number,,1.20x
305,,,,Number,,1.25x
306,,,,Treaty,,距离条约结束还有 1 分钟
307,,,ags_conditions_objectives,Treaty,,为战争做好准备
308,,,ags_conditions_objectives,Treaty,,这是不应该发生的
309,,,ags_conditions_objectives,Treaty,,笔墨的确是史上最强大的武器
310,,,ags_conditions_notifications,Score,,剩余 %1MINUTES_REMAINING% 分钟游戏结束
311,,,ags_conditions_notifications,Score,,剩余 1 分钟游戏结束
312,,,ags_conditions_objectives,Score,,存活并超越所有人，当前排名 %1RANK_POSITION%
313,,,ags_conditions_notifications,Religious,,%1PLAYER_NAME% 供奉新的神祗
314,,,,Number,,1.50x
315,,,,Number,,1.75x
316,,,,Ingame Button,,切换目标
317,,,,Ingame Button,,在显示目标或暂时隐藏目标之间切换
318,,,,Ingame Button,,高级游戏设置
319,,,,Ingame Button,,反馈
320,,,ags_match_ui,Ingame Button,,比赛设置
321,,,ags_match_ui,Ingame Button,,Mod 版本：
322,,,,Mod Title,,AGS游牧
323,,,,Mod Gamemode Description,,AGS游牧就是著名的游牧玩法，加了一些外交和一小部分选项但仍然保持游牧玩法本质。\n\n帮助、反馈、错误报告和对模式的贡献可前往：\nhttps://github.com/search?q=AOE4-AdvancedGameSettings"
324,,,,Wonder Construction,,建造奇观
325,,,,Wonder Construction,,即使没有开启奇观胜利或者征服胜利仍然可以建造奇观
326,,,,Double Workers Option,,双倍工人
327,,,,Double Workers Option,,经济单位造价和耗时减半：所有玩家的农民，商人
328,,,,Handicap Option,,手残补助设置
329,,,,Handicap Option,,手残类型
330,,,,Handicap Option,,如果没有禁用，即加强每个玩家的特定方面，比如经济，军事或者都加强
331,,,,Handicap Option,,全部
332,,,,Handicap Option,,军事
333,,,,Handicap Option,,经济
334,,,,Handicap Option,,1号位手残度
335,,,,Handicap Option,,为大厅的该位玩家添加加强等级
336,,,,Number,,10%
337,,,,Number,,20%
338,,,,Number,,30%
339,,,,Number,,40%
340,,,,Number,,50%
341,,,,Number,,60%
342,,,,Number,,70%
343,,,,Number,,80%
344,,,,Number,,90%
345,,,,Number,,100%
346,,,,Number,,150%
347,,,,Number,,200%
348,,,,Number,,250%
349,,,,Number,,300%
350,,,,Handicap Option,, 2 号位手残度
351,,,,Handicap Option,, 3 号位手残度
352,,,,Handicap Option,, 4 号位手残度
353,,,,Handicap Option,, 5 号位手残度
354,,,,Handicap Option,, 6 号位手残度
355,,,,Handicap Option,, 7 号位手残度
356,,,,Handicap Option,, 8 号位手残度
357,,,,Treasure Option,,宝藏
358,,,,Treasure Option,,少量宝藏会随机出现在地图上
359,,,,Resource Option,,少量
360,,,,State Wars,,征服大部分城邦以确保胜利。每个玩家从几个僧侣开始，必须找到并接管城市。\n文明选择没有影响。人口限制为 150 人。 控制 75% 城市的队伍将赢得比赛。\n\n帮助、反馈、错误报告和对模式的贡献可以在以下位置完成：\nhttps://github.com/search?q=AOE4-AdvancedGameSettings"
361,,,,State Wars,,城邦战争
362,,,ags_conditions_objectives,State Wars,,控制大部分城市
363,,,ags_conditions_objectives,State Wars,,城市 %1NAMEORNUMBER%
364,,,ags_culture_data,State Wars,,%1PLAYER_NAME%被同化
365,,,ags_culture_data,State Wars,,你正在接近文化胜利
366,,,ags_culture_data,State Wars,,您的团队正在接近文化胜利
367,,,ags_culture_data,State Wars,,敌人正在接近文化胜利
368,,,ags_culture_data,State Wars,,占领城邦
369,,,ag
