ID,SourceText,TranslatedText
213,,5-krát
214,,6-krát
215,,7-krát
216,,8-krát
217,,9-krát
218,,10-krát
219,,0.95-krát
220,,0.90-krát
221,,0.85-krát
222,,0.80-krát
223,,0.75-krát
224,,20-krát
225,,Omezení na městé centra
226,,Zakáže výstavbu dalších městských center
227,,Žádný
228,,Normální
229,,Primární centrum města
230,,Chraňte své spoluhráče.
231,%1PLAYER_NAME% surrendered in solidarity with his teammate,%1PLAYER_NAME% ustoupil vzhledem k solidaritě se svým spoluhráčem
232,,%1MINUTES_REMAINING% minut do konce smlouvy
233,,Smlouva skončila
234,,Vztahy
235,,Přátelství
236,,Neutralita
237,,Nepřátelství
238,,Aktuální postoj
239,,Staňte se přátelským hráčem %1PLAYER_NAME%
240,,Staňte se neutrální vůči %1PLAYER_NAME%
241,,Staňte se nepřátelským hráčem %1PLAYER_NAME%
242,,Rozptýlený start
243,,Zmocněný král
244,,Král bude mít další bonusy a schopnosti
245,,Týmová rovnováha
246,,Pokud tým ztratí hráče
247,,Počet obyvatel
248,,Populace a zdroje
249,,Žádný Dock
250,,Deaktivuje stavbu doků v jakémkoli věku
251,,Střední
252,,Bojujte až do hořkého konce.
253,,Převahu až do konce.
254,,Monarcha nepodléhá žádné pozemské autoritě
255,,Král
256,,Opevněný
257,,Nepodařilo se ochránit hráče %1PLAYER_NAME%.
258,,Všechny ostatní týmy se rozpadly.
259,,Zničit všechno.
260,,Povolit AI převzetí
261,,Hráči
262,,Opravdu král všech jsi.
263,,Nepodařilo se ochránit krále.
264,,%1PLAYER_NAME% zavražděn
265,,Nepřítel útočí na krále hráče %1PLAYER_NAME%.
266,,Král pod útokem
267,,„%1PLAYER_NAME% dobýt“
268,,Vaše impérium bylo dobyto.
269,Conquered all enemies.,Všechny nepřátele padli.
270,,Přežít a předstihnout všechny.
271,,Vaše impérium bylo zapomenuto historií.
272,,Vaše Impérium září nejjasněji.
273,,Stále čeká %1PLAYER_NAME% na Godota.
274,,%1PLAYER_NAME% nemohl odolat slávě tohoto divu světa
275,,Budování divu světa
276,,Památka zničená
277,,Nepodařilo se udržet divu světa.
278,,Nastavení hráče
279,,Vynutit barvy
280,,Opravuje barvy pro diplomacii. Způsobí automatickou aktualizaci barev pro každý slot
281,,Používá jej Enforce Colors k určení barvy
282,,Modrý
283,,Červené
284,Yellow,Zlatá
285,,Zelená
286,,Tyrkysový
287,,Nachový
288,,Oranžový
289,,Růžový
290,,Šedá
291,,Vynucený slot 1 barva
292,,Vynucený slot 2 barva
293,,Vynucený slot 3 barva
294,,Vynucený slot 4 barva
295,,Vynucený slot 5 barva
296,,Vynucený slot 6 barva
297,,Vynucený slot 7 barva
298,,Vynucený slot 8 barva
299,,Hodnoty jednotek
300,,Vynásobí maximální rychlost pohybu jednotky zvolenou hodnotou.
301,,1.05-krát
302,,1.10-krát
303,,1.15-krát
304,,1.20-krát
305,,1.25-krát
306,,1 minuta do konce smlouvy
307,,Připravte se na válku.
308,,To se nemělo stát.
309,,Pero je skutečně nejsilnější zbraní v historii.
310,,Do konce hry %1MINUTES_REMAINING% minut
311,,1 minuta do konce hry
312,,Přežít a předstihnout všechny. Hodnocení %1RANK_POSITION%.
313,,%1PLAYER_NAME% se poklonil před novým bohem
314,,1.50-krát
315,,1.75-krát
316,,Přepnout zobrazení cílů
317,,Přepíná mezi zobrazením cílů nebo jejich dočasným skrytím.
318,,Pokročilé nastavení hry
319,,Zpětná vazba
320,,Nastavení soubouju
321,,Verze modu:
322,,Nomád AGS
323,,Nomad je založen na dobře známém jiném nomádském modu. Toto je založeno na Pokročilých nastavení hry a díky tomu poskytuje diplomacii a několik možností
324,,Konstrukce div světa
325,,Umožňuje konstrukci divu světa bez podmínky div světa nebo podmínky dobytí s vybraným dobytí divu světa.
326,,Dvojí pracovníci
327,,Snižuje náklady a rychlost výroby všech ekonomických jednotek na polovinu: vesničan
328,,Nastavení handicapu
329,,Typ handicapu
330,,Pokud není deaktivován
331,,Oba
332,,Válečný
333,,Ekonomický
334,,Handicap slotu 1
335,,Určuje hodnotu bonusu poskytnutého handicapem hráči na tomto slotu v lobby.
336,,10%
337,,20%
338,,30%
339,,40%
340,,50%
341,,60%
342,,70%
343,,80%
344,,90%
345,,100%
346,,150%
347,,200%
348,,250%
349,,300%
350,,Handicap slotu 2
351,,Handicap slotu 3
352,,Handicap slotu 4
353,,Handicap slotu 5
354,,Handicap slotu 6
355,,Handicap slotu 7
356,,Handicap slotu 8
357,,Poklady
358,,Na mapě se náhodně objeví poklady.
359,,Nízký
360,,Dobýt většinu městských států a zajistit si vítězství. Každý hráč začíná s několika mnichy a musí najít a převzít město.\nVýběr civilizace nemá žádný vliv. Počet obyvatel je omezen na 150. Hru vyhraje tým
361,,Války městských států
362,,Ovládejte většinu měst
363,,Město %1NAMEORNUMBER%
364,,%1PLAYER_NAME% byl asimilován
365,,Blížíte se k kulturnímu vítězství
366,,Váš tým se blíží Kulturnímu vítězství
367,,Nepřítel se blíží kulturnímu vítězství
368,,Dobyvaní městského státu
369,,Spojenec dobývá městský stát
370,,Nepřítel dobývá městský stát
371,,Městský stát dobýt
372,,Spojenec dobyl městský stát
373,,Nepřítel dobyl městský stát
374,,Bitva o městský stát
375,,Spojenec bojuje o městský stát
376,,Nepřítel bojuje o městský stát
377,,Městský stát osvobozen
378,,Městský stát osvobozen spojencěm
379,,Městský stát ztracený
380,,Osvobozovaní městského státu
381,,Spojenec osvobozuje městský stát
382,,Nepřítel osvobozuje městský stát
383,,Týmové dobývání
384,,Hráči jsou dobyti pouze tehdy
385,,Přidat zvěda (rozptýlený)
386,,Když je vybrán rozptýlený začátek
387,,Náboženské jednotné centrální místo
388,,Nahradí všechna posvátná místa generovaná generátorem map jediným místem
389,,Přidejte kapacitu domu
390,Additional population capacity for houses.,Další populace pro domy.
391,,Turnajová rovnost
392,,Úplný seznam změn k dispozici na oficiálním úložišti modu na GitHube.
393,,Nomádský turnaj AGS
394,,Předkonfigurovaná verze Nomád pro The Nomadic Clash turnaj organizován MrMerlin.
